# Monte Carlo Simulation Attempt
# kc_id_list: ['P_S1', 'S1_S2', 'S2_S3', 'S3_S4', 'S4_S5']
# num_iterations: 100
# misalignment_std_dev: 0.025
# Timestamp: 20250516_023903

Category,,kc_misalignment,kc_misalignment,kc_misalignment,kc_misalignment,kc_misalignment,kc_misalignment,kc_origin_final_pos,kc_origin_final_pos,kc_origin_final_pos,kc_norm_final_pos,kc_norm_final_pos,kc_norm_final_pos,panel_cm_final_pos,panel_cm_final_pos,panel_cm_final_pos,net_rotation,net_rotation,net_rotation
Subcategory,,1,2,3,4,5,6,x,y,z,x,y,z,x,y,z,x,y,z
Iteration,Panel ID,,,,,,,,,,,,,,,,,,
0,P,,,,,,,,,,,,,-7.99,0.0,0.0,0.0,0.0,0.0
0,S1,0.03828243377562921,-0.011791483958092173,-0.028377906696024982,0.010507574760881587,0.01732395859101275,0.0172282677470434,0.0030478486813297055,-0.027415395161649064,0.009041824099539478,3.881033680773024,-0.01696876707886959,0.009910189109746262,2.6624882982716107,2.040735042675927,0.000309037872537209,-0.004526414398558661,-0.00023001740901361045,0.0026933103854790007
0,S2,-0.026380047714180704,-0.04634332792884474,-0.030983640884397756,-0.026184813330027826,-0.00425266137063132,-0.015755721572687176,4.0024447363256535,0.16102214522740046,0.018317756379509047,7.9935503333283515,-2.484183958788093,0.042103904720950325,6.485208135769145,-0.23415235626799888,0.025174559691474405,-0.006351829376697902,-0.0017448444775570104,0.0019351185712712744
0,S3,0.029687109222124045,-0.0012191634517811616,-0.0019250459240998813,0.004425981862679777,0.01698455518385333,-0.010864615625248916,5.662089642434099,-3.5179539143720273,0.03788570475097129,10.490848995138535,-14.905588572066641,0.1894938065856807,9.055624596860294,-9.25592352904465,0.11535320878520523,-0.012839684479195241,-0.0010980081945564247,0.003408295079498847
0,S4,0.009537833707277982,-0.017925519310852924,0.006270944071646191,-0.006300110114017205,-0.007842881230714398,0.015842175706714333,10.833067756623123,-15.773977215783415,0.17891362524233,8.309903130722342,-28.52944549923418,0.2626819992549225,7.3412101630269095,-20.093566359668625,0.20312465730444998,-0.0068813051066241495,-0.0015655783737309197,0.003050624750204609
0,S5,-0.01842928433174777,-0.017057148222438766,0.01530276893241024,-0.03422160279644817,0.012985941369689677,-0.00046434788924326403,2.1984673880909313,-24.228528798283556,0.051217008514441324,-9.704628790011434,-36.477768784947386,0.16318630770281634,-3.7985586544795917,-30.489318350304274,0.10846934505315099,-0.009398185352143897,-0.0002464840479635068,0.003837300760026687
1,S1,0.013472272931124735,0.02920347241655758,-0.013251216480557926,-0.01757790771184017,0.0190090391247887,0.025156985107969227,0.004188413076524474,0.0031187441645426513,-0.015066338478568296,3.88214703236336,0.020418539781854497,-0.019720817025138976,2.659964155882073,2.0759863476503764,-0.019660067305054832,-0.0006795930424509533,0.0011987149255234927,0.004461433230804258
1,S2,0.031578403223729276,0.05668595425833818,0.027612185279825438,0.0043787350287987185,-0.008433421473453894,-0.006993733976335419,4.088009751860013,0.1664867524493566,-0.024727085738734743,8.093054999452555,-2.457673541650275,-0.02416529634312807,6.5728320881190445,-0.2155880843355483,-0.02384599323470877,0.00042588020068931777,-0.000421848689385786,0.007218004293358497
1,S3,0.011093324093516469,-0.0036524686435115885,-0.03783056615029113,-0.0043576604403833905,-0.012435616339798498,0.002679049663367135,5.739549227649242,-3.5276365835642887,0.0058501027575594,10.643712676064489,-14.883942307611477,-0.03447573512536281,9.171057978046553,-9.243464305533433,-0.015057998918753125,0.0032799790264504687,0.0006183430964830329,0.010032364037605341
1,S4,0.028743045746964447,0.031103711259651858,-0.04494096022892298,-0.03131043626424086,-0.05009608874007489,-0.033519901130580836,10.86986107907982,-15.720916461513024,-0.007614874411841891,8.5112389404074,-28.507936753023337,-0.0736578261015214,7.4339510016364,-20.08510335647906,-0.03762629772851628,0.00461829289104003,-0.0028765843377262204,0.01592151264705628
