Kinematic Coupling,Recieving Panel Origin (Base Midpoint),,Recieving Panel Edge Normal Endpoint (In-Plane),,Recieving Panel Base Length,Recieving Panel Max Arm Length,Base-to-Arm Angle (Degrees),Base-to-Arm Angle (Radians),,Recieving Panel Max Arm Length,Base-to-Arm Angle (Degrees),Base-to-Arm Angle (Radians)
,x,y,x,y,,,,,,,,
P:S1-,-5.641,7.764,-4.443,11.452,11.649,8.002,92.572,1.616,,-11.649,108.000,1.885
S1-:S2-,-4.539,11.654,-0.785,14.625,14.431,7.988,59.217,1.034,,-8.002,53.774,0.939
S2-:S3-,-0.522,12.089,11.805,13.12,12.474,17.071,92.773,1.619,,,,
S3-:S4-,11.999,13.370,24.033,6.766,16.333,17.091,59.252,1.034,,,,
S4-:S5-,18.027,2.319,25.938,-12.828,14.749,17.094,92.025,1.606,,,,
P:S1,0.000,0.000,3.878,0.000,11.649,8.002,92.572,1.616,,-11.649,108.000,1.885
S1:S2,4.040,0.155,8.026,-2.498,14.431,7.988,59.217,1.034,,-8.002,53.774,0.939
S2:S3,5.695,-3.532,10.485,-14.937,12.474,17.071,92.773,1.619,,,,
S3:S5-,15.178,-8.807,29.165,-2.119,17.094,16.187,88.004,1.536,,,,
S3:S4,10.782,-15.782,8.220,-28.530,16.333,17.091,59.252,1.034,,,,
S4:S5,2.135,-24.193,-9.825,-36.397,14.749,17.094,92.025,1.606,,,,
P:S1+,-5.641,-7.764,-4.442,-11.452,11.649,8.002,92.572,1.616,,-11.649,108.000,1.885
S1+:S2+,-4.246,-11.559,-5.537,-16.169,14.431,7.988,59.217,1.034,,-8.002,53.774,0.939
S2+:S3+,-7.240,-14.272,-16.607,-22.352,12.474,17.071,92.773,1.619,,,,
S3+:S5,-9.326,-24.920,1.356,-36.157,17.094,16.187,88.004,1.536,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Old Name,Panel,Panel Centroid,,,,,,,,,,
,,x,y,,,,,,,,,
P,P,-7.990,0.000,,,,,,,,,
"A1,",S1-,-6.778,10.935,,,,,,,,,
"B1,",S2-,-3.392,13.891,,,,,,,,,
A2,S3-,5.989,13.521,,,,,,,,,
B2,S4-,15.716,8.476,,,,,,,,,
A3',S5-,22.096,-5.345,,,,,,,,,
A1,S1,2.665,2.061,,,,,,,,,
B1,S2,6.522,-0.245,,,,,,,,,
A2',S3,9.069,-9.282,,,,,,,,,
B2',S4,7.277,-20.091,,,,,,,,,
A3'',S5,-3.896,-30.431,,,,,,,,,
A1',S1+,-2.857,-9.661,,,,,,,,,
B1',S2+,-3.859,-14.043,,,,,,,,,
A2'',S3+,-11.666,-19.257,,,,,,,,,
,,,,,,,,,,,,
"All units are in cm unless otherwise indicated.

A ""Recieving Panel Max Arm Length"" value of 0 means that no protruding arm is possible due to stowed geometry of the flasher.

The ""Stowed Arm Protrusion Angle (Degrees)"" Measures the angle relative to the vertical at which the arm would protrude from the edge of the panel to which it were mounted.",,,,,,,,,,,,
